Report Type,Service Name,Service ID,Service Type,Depends On (Target),Dependency ID
Active Relationship,Akamai Web Application Firewall,PIB3GTJ,Business,Akamai WAF,DQA0MCE4TOOYYNMQYN
Active Relationship,Akamai Web Application Firewall,PIB3GTJ,Business,Akamai WAF - Atlassian,DQA0MCE4TOOYYRPN42
Active Relationship,Akamai Web Application Firewall,PIB3GTJ,Business,Akamai WAF - Low,DQA0MCE4TOOYYOT5UU
Active Relationship,Data Services,PA4CD4L,Business,Data Services,D28EHG7CA8ZAOLQ4EWC
Active Relationship,WCMS Service,PWVRCSY,Business,WCMS Datadog - High,D28EHGB8FN0BQRPMZMQ
Active Relationship,WCMS Service,PWVRCSY,Business,WCMS Datadog  Core Hours,D28EHGB8FN0BQRPMZNQ
Active Relationship,iview ,PHX0VNB,Business,iView Live Streams,D2AI8K5QT9ZXI7MB3OO
Active Relationship,iview ,PHX0VNB,Business,iView High Urgency,D2AI8K5QT9ZXI7M8UB9
Active Relationship,iview ,PHX0VNB,Business,Gigya User Application,D2AI8K5QT9ZXI87EESH
Active Relationship,Terminus,PESVIWN,Business,MAPI,D2BIR1O0IBE544UB8UI
Active Relationship,Terminus,PESVIWN,Business,PAPI (low urgency),D2BIR1O0IBE544UB2CS
Active Relationship,Terminus,PESVIWN,Business,PAPI (high urgency),D2BIR1O0IBE544UB8U4
Active Relationship,Kids App,PX450TF,Business,Recommendations Engine,D2EB8Q60VIALLOS2CBE
Active Relationship,triple j App,P1FGDVJ,Business,Terminus API,D2EB8LEQAD1AY6X9TK4
Active Relationship,UGC Tools (Zendesk Support),PNZ8NTG,Business,"Subscriptions API (SFMC API, Salesforce Marketing Cloud API)",D2EB8OBUBVT3KSIMEV3
Active Relationship,wCMS (CoreMedia 11),P4VHRE4,Business,ABC Transcribe (Transcription UI),D2EB8H30ARW4JDLN5XE
Active Relationship,triple j App,P1FGDVJ,Business,Recommendations Engine,D2EB8LEQAD1AY6X9TJU
Active Relationship,"Commercial Sites (Inc. Shop, News Syndication)",PI7MIFE,Business,Commerical Competitions (ShortStack),D2EB8E5W994BWS0AKPI
Active Relationship,Email Newsletters (SFMC),PZQSC21,Business,ABC Account API,D2EB8S7ZPWU5QXB37AY
Active Relationship,"Subscriptions API (SFMC API, Salesforce Marketing Cloud API)",PHWUCDC,Business,Email Newsletters (SFMC),D2EB8F8TR5EMIHC78L3
Active Relationship,Kirby (iview Data Ingestion Service),PDJ128W,Business,Metro (Transcoder),D2EB8WBXEPXA1ED4XEI
Active Relationship,Chromecast Receiver,P83MFAB,Business,iview Chromecast Receiver,D2EB8XYBNKCPXYCZX7A
Active Relationship,Kirby (iview Data Ingestion Service),PDJ128W,Business,Live Streaming Workflow Platform,D2EB8WBXEPXA1ED4XH3
Active Relationship,iview TAL,PGR9X1B,Business,iview API,D2EB8MPG31DNO8IRF5D
