Parent Name (Consumer),Parent Type,Parent ID,Child Name (Supplier),Child Type,Child ID,Relationship ID
Akamai Web Application Firewall,Business Service,PIB3GTJ,Akamai WAF,Technical Service,P295P49,DQA0MCE4TOOYYNMQYN
Akamai Web Application Firewall,Business Service,PIB3GTJ,Akamai WAF - Atlassian,Technical Service,P2EA3Y5,DQA0MCE4TOOYYRPN42
Akamai Web Application Firewall,Business Service,PIB3GTJ,Akamai WAF - Low,Technical Service,PPVD2GI,DQA0MCE4TOOYYOT5UU
Data Services,Business Service,PA4CD4L,Data Services,Technical Service,PFKHYJY,D28EHG7CA8ZAOLQ4EWC
WCMS Service,Business Service,PWVRCSY,WCMS Datadog - High,Technical Service,PBKOX80,D28EHGB8FN0BQRPMZMQ
WCMS Service,Business Service,PWVRCSY,WCMS Datadog  Core Hours,Technical Service,P95R0K4,D28EHGB8FN0BQRPMZNQ
iview ,Business Service,PHX0VNB,iView Live Streams,Technical Service,PCZ5UED,D2AI8K5QT9ZXI7MB3OO
iview ,Business Service,PHX0VNB,iView High Urgency,Technical Service,PQG5LF0,D2AI8K5QT9ZXI7M8UB9
iview ,Business Service,PHX0VNB,Gigya User Application,Technical Service,PLA18U3,D2AI8K5QT9ZXI87EESH
Terminus,Business Service,PESVIWN,MAPI,Technical Service,PFGJ942,D2BIR1O0IBE544UB8UI
Terminus,Business Service,PESVIWN,PAPI (low urgency),Technical Service,PBO7R9A,D2BIR1O0IBE544UB2CS
Terminus,Business Service,PESVIWN,PAPI (high urgency),Technical Service,PT6RV1C,D2BIR1O0IBE544UB8U4
Kids App,Business Service,PX450TF,Recommendations Engine,Business Service,P3HP8C2,D2EB8Q60VIALLOS2CBE
triple j App,Business Service,P1FGDVJ,Terminus API,Business Service,P35H2A0,D2EB8LEQAD1AY6X9TK4
UGC Tools (Zendesk Support),Business Service,PNZ8NTG,"Subscriptions API (SFMC API, Salesforce Marketing Cloud API)",Business Service,PHWUCDC,D2EB8OBUBVT3KSIMEV3
wCMS (CoreMedia 11),Business Service,P4VHRE4,ABC Transcribe (Transcription UI),Business Service,PWBXAZZ,D2EB8H30ARW4JDLN5XE
triple j App,Business Service,P1FGDVJ,Recommendations Engine,Business Service,P3HP8C2,D2EB8LEQAD1AY6X9TJU
"Commercial Sites (Inc. Shop, News Syndication)",Business Service,PI7MIFE,Commerical Competitions (ShortStack),Business Service,PTCZ66V,D2EB8E5W994BWS0AKPI
Email Newsletters (SFMC),Business Service,PZQSC21,ABC Account API,Business Service,PQ4TF9L,D2EB8S7ZPWU5QXB37AY
"Subscriptions API (SFMC API, Salesforce Marketing Cloud API)",Business Service,PHWUCDC,Email Newsletters (SFMC),Business Service,PZQSC21,D2EB8F8TR5EMIHC78L3
Kirby (iview Data Ingestion Service),Business Service,PDJ128W,Metro (Transcoder),Business Service,PXFA6VH,D2EB8WBXEPXA1ED4XEI
Chromecast Receiver,Business Service,P83MFAB,iview Chromecast Receiver,Business Service,PVOXOVV,D2EB8XYBNKCPXYCZX7A
Kirby (iview Data Ingestion Service),Business Service,PDJ128W,Live Streaming Workflow Platform,Business Service,P3G6YJ9,D2EB8WBXEPXA1ED4XH3
iview TAL,Business Service,PGR9X1B,iview API,Business Service,PCW0D4S,D2EB8MPG31DNO8IRF5D
Chartbeat Analytics,Business Service,P2JJ9S4,News Web,Business Service,PSGOGCQ,D2EB8UXBGNJW96MUV5B
Double J Web,Business Service,P06IY6J,Core Next,Business Service,P49JYW8,D2EB8Z91G8P2NZYHIRG
News Web,Business Service,PSGOGCQ,Live Blogging (Norkon Live Center),Business Service,PJFFROL,D2EB8RCUISLX9K8RH02
UGC Tools (Zendesk Support),Business Service,PNZ8NTG,UGC File Uploads (FileStack),Business Service,PQEGOW7,D2EB8OBUBVT3KSIMEZ1
Streaming QoS (Youbora),Business Service,PRB3B0P,iview TV App (tvOS / Android TV),Business Service,P3QZ923,D2EB8YTGUOKYFBFBNKL
iview App (Native),Business Service,PTDEFMO,"SeeSaw (Favourites, History, Prefs)",Business Service,PW02UXX,D2EB8ELGUT8G5GJGFRG
Personalised Recommendations,Business Service,P6F53PQ,Disco (PAX Data Service),Business Service,P7J7Z8Y,D2EB8J4Z56FOOM4O117
triple j Chromecast Receiver,Business Service,P997LPC,triple j App,Business Service,P1FGDVJ,D2EB8QHPBODOS76FQPK
ABC Transcribe (Transcription UI),Business Service,PWBXAZZ,Transcription Engine (Transcript Model),Business Service,PUA25TT,D2EB8FKI7BHPOZQKMW0
Homepage,Business Service,P4UBELO,On-Platform Promos,Business Service,P14OXTH,D2EB8Y27SYDR04HSE0Y
ABC Listen App,Business Service,P4LREYN,Recommendations Engine,Business Service,P3HP8C2,D2EB8ROIYYP0G2N4VDM
"iview Partners (Foxtel, Fetch, Amazon Echo Show, Telstra TV)",Business Service,PBZDQAN,iview API,Business Service,PCW0D4S,D2EB8U9YKBDPW5U42GH
Chartbeat Analytics,Business Service,P2JJ9S4,"TV Programs (BTN, Gardening, Media Watch, Q&A, Rage)",Business Service,PKUNXR0,D2EB8UXBGNJW96MUV2G
Terminus API,Business Service,P35H2A0,Program API (PAPI),Business Service,PW7HAMA,D2EB8J8VAKGPQS9GHRX
iView Web,Business Service,PLYQ3N8,iview API,Business Service,PCW0D4S,D2EB8PQG9Y6HD08WH9T
Core Next,Business Service,P49JYW8,Emergency Service (Aurora),Business Service,PWJPH1C,D2EB8SRGGUZB1RZ1JAR
Kids App,Business Service,PX450TF,Terminus API,Business Service,P35H2A0,D2EB8Q60VIALLOS2CBO
Media Storage (S3),Business Service,P29WD5I,Media Storage (On-prem),Business Service,PTN1GPP,D2EB8F11GDCKE52MAYC
Search (Algolia),Business Service,PQMYULN,Terminus API,Business Service,P35H2A0,D2EB8ZWECKV910R8BFO
Everyday,Business Service,PUYJVAA,Recommendations Engine,Business Service,P3HP8C2,D2EB8ZSI76U7YUMFUMY
Chartbeat Analytics,Business Service,P2JJ9S4,Homepage,Business Service,P4UBELO,D2EB8UXBGNJW96MUV71
News Web,Business Service,PSGOGCQ,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8RCUISLX9K8RH1Y
Measurement & Notifications (Google Firebase),Business Service,P7TA9RS,triple j Unearthed,Business Service,PK8PE64,D2EB8I21NA5E2WSRD4K
iview CTV (Smart TVs),Business Service,PY0SPKK,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8UDUPPEQYBYWJ6E
Chartbeat Analytics,Business Service,P2JJ9S4,Education,Business Service,PT1404T,D2EB8UXBGNJW96MUV6O
wCMS (CoreMedia 11),Business Service,P4VHRE4,Location Service (Aurora),Business Service,PVLJHEE,D2EB8H30ARW4JDLN621
Homepage,Business Service,P4UBELO,Recommendations Engine,Business Service,P3HP8C2,D2EB8Y27SYDR04HSDZU
Chartbeat Analytics,Business Service,P2JJ9S4,Everyday,Business Service,PUYJVAA,D2EB8UXBGNJW96MUV7H
Facebook News Notifier,Business Service,P2UOJXL,Terminus API,Business Service,P35H2A0,D2EB8KBSSGR0CHLD5NO
Streaming QoS (Youbora),Business Service,PRB3B0P,iView Web,Business Service,PLYQ3N8,D2EB8YTGUOKYFBFBNKW
ABC Account API,Business Service,PQ4TF9L,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8EPD079H7MO8WLY
Kirby (iview Data Ingestion Service),Business Service,PDJ128W,Terminus API,Business Service,P35H2A0,D2EB8WBXEPXA1ED4XD0
Email Newsletters (SFMC),Business Service,PZQSC21,Profiles Event Bus,Business Service,PUR4P8X,D2EB8S7ZPWU5QXB37F0
Kids App,Business Service,PX450TF,iview API,Business Service,PCW0D4S,D2EB8Q60VIALLOS2CFL
iview XBOX,Business Service,POETT5H,iview API,Business Service,PCW0D4S,D2EB8GV7ZZU2F1C28HD
Chartbeat Analytics,Business Service,P2JJ9S4,Regional and Local Sites (x54 Sites),Business Service,PU6P5GU,D2EB8UXBGNJW96MUV4R
iView Web,Business Service,PLYQ3N8,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8PQG9Y6HD08WH7A
triple j Web,Business Service,PHNWJVG,App Framework (Next.js),Business Service,PUHHOIW,D2EB8QX9X8HT0VPLLW1
Syndication Engine,Business Service,P9CKKMB,Terminus API,Business Service,P35H2A0,D2EB8K40HOOY85BS82S
Jazz Web,Business Service,PCELWPO,App Framework (Next.js),Business Service,PUHHOIW,D2EB8MTC8FEOQENJVV5
Radio National,Business Service,PG6UQZY,Core Next,Business Service,P49JYW8,D2EB8HEOQXZ7PW00KE4
ABC listen Push Notifications (Google Firebase),Business Service,PODNGQ1,ABC Listen App,Business Service,P4LREYN,D2EB8XUFI6BOVS87GHE
ABC iview Australia App (iview International),Business Service,P1P3DIK,iview API,Business Service,PCW0D4S,D2EB8RSF4CQ1I8RXCA9
Disco (PAX Data Service),Business Service,P7J7Z8Y,Terminus API,Business Service,P35H2A0,D2EB8SNKBGY9ZLU92HW
Terminus API,Business Service,P35H2A0,Music API (MAPI),Business Service,PD8BVMN,D2EB8J8VAKGPQS9GHQI
Preview,Business Service,PMUASEQ,App Framework (Next.js),Business Service,PUHHOIW,D2EB8TYA45AMPNFQO0H
iview App (Native),Business Service,PTDEFMO,Recommendations Engine,Business Service,P3HP8C2,D2EB8ELGUT8G5GJGFRU
iview CTV (Smart TVs),Business Service,PY0SPKK,Recommendations Engine,Business Service,P3HP8C2,D2EB8UDUPPEQYBYWJ4Q
DRM (BuyDRM),Business Service,PPIVM22,Metro (Transcoder),Business Service,PXFA6VH,D2EB8QDT6ACNQ11N9Y2
Chartbeat Analytics,Business Service,P2JJ9S4,triple j Web,Business Service,PHNWJVG,D2EB8UXBGNJW96MUV57
Taxonomy Suggestions for Editors,Business Service,P6W7N4U,Automated Metadata Engine (AME),Business Service,PXXI03E,D2EB8UTFB9IV70I2EAX
Country Web,Business Service,PC3TQN9,Core Next,Business Service,P49JYW8,D2EB8NW9QBOZC3ZGJSS
Search (Algolia),Business Service,PQMYULN,Disco (PAX Data Service),Business Service,P7J7Z8Y,D2EB8ZWECKV910R8BI3
Hottest 100 Voting (MIK),Business Service,P28R3Q2,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8W08YJU6UVYRJ12
iview App (Native),Business Service,PTDEFMO,iview API,Business Service,PCW0D4S,D2EB8ELGUT8G5GJGFW1
Double J Web,Business Service,P06IY6J,App Framework (Next.js),Business Service,PUHHOIW,D2EB8Z91G8P2NZYHIQ9
News App,Business Service,P91SEKZ,Terminus API,Business Service,P35H2A0,D2EB8L6XZKZ8TUNOVZ8
Event Pipeline (Snowplow),Business Service,PRK1U88,ABC KIDS Listen App,Business Service,P8FULCD,D2EB8N50OLHRWX1XAAQ
Radio National,Business Service,PG6UQZY,App Framework (Next.js),Business Service,PUHHOIW,D2EB8HEOQXZ7PW00KCX
Composer API (SFMC Template Composer),Business Service,PXQ2GBB,Terminus API,Business Service,P35H2A0,D2EB8EHKPF7F3AENYZO
ABC Listen App,Business Service,P4LREYN,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8ROIYYP0G2N4VFA
ABC KIDS Listen App,Business Service,P8FULCD,Terminus API,Business Service,P35H2A0,D2EB8WVE5O2FC9139B8
iview CMS (Dashboard),Business Service,PJ4N89J,Kirby (iview Data Ingestion Service),Business Service,PDJ128W,D2EB8IDQ3G8H9F74RJ1
News App,Business Service,P91SEKZ,Recommendations Engine,Business Service,P3HP8C2,D2EB8L6XZKZ8TUNOVYY
Hottest 100 Voting (MIK),Business Service,P28R3Q2,reCAPTCHA,Business Service,PCX6PK8,D2EB8W08YJU6UVYRIZ8
ABC Kids listen Web,Business Service,P8GAYVW,Core Next,Business Service,P49JYW8,D2EB8FW6NHKSVI4Y1BW
iview Chromecast Receiver,Business Service,PVOXOVV,iview API,Business Service,PCW0D4S,D2EB8HQD742AWEEDYSX
ABC Account,Business Service,PJP2RBM,Disco (PAX Data Service),Business Service,P7J7Z8Y,D2EB8NOHFJMX7RPVM7V
iView Web,Business Service,PLYQ3N8,"SeeSaw (Favourites, History, Prefs)",Business Service,PW02UXX,D2EB8PQG9Y6HD08WH58
triple j Push Notifications (Google Firebase),Business Service,PADT165,triple j App,Business Service,P1FGDVJ,D2EB8Q24Q49KJIN9VJS
triple j Unearthed,Business Service,PK8PE64,Terminus API,Business Service,P35H2A0,D2EB8RWB9QR2KEWPSYS
iview Chromecast Receiver,Business Service,PVOXOVV,iview App (Native),Business Service,PTDEFMO,D2EB8HQD742AWEEDYNT
Everyday,Business Service,PUYJVAA,App Framework (Next.js),Business Service,PUHHOIW,D2EB8ZSI76U7YUMFUOH
"Content API (wCMS, CAPI)",Business Service,PV2ZVNZ,wCMS (CoreMedia 11),Business Service,P4VHRE4,D2EB8TETD75HESRSC0G
triple j App,Business Service,P1FGDVJ,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8LEQAD1AY6X9TLI
Push Notifications (TBC),Business Service,P9U04EF,Measurement & Notifications (Google Firebase),Business Service,P7TA9RS,D2EB8VSGNRS4QJP6LEH
Chromecast Receiver,Business Service,P83MFAB,triple j Chromecast Receiver,Business Service,P997LPC,D2EB8XYBNKCPXYCZX9J
iview PS4,Business Service,PFKWXRC,iview API,Business Service,PCW0D4S,D2EB8T34X12E8ADEXRL
News App,Business Service,P91SEKZ,News Web,Business Service,PSGOGCQ,D2EB8L6XZKZ8TUNOW1B
"ML/AI Demo UI (Automated Metadata UI, Transcript & Subtitle Editor)",Business Service,PEYBI3R,ML/AI Prompt Layer (The Prompt),Business Service,P57PXG6,D2EB8E9SEN5CYY531DY
iview CMS (Dashboard),Business Service,PJ4N89J,Metro (Transcoder),Business Service,PXFA6VH,D2EB8IDQ3G8H9F74RH6
"ML/AI Demo UI (Automated Metadata UI, Transcript & Subtitle Editor)",Business Service,PEYBI3R,Automated Metadata Engine (AME),Business Service,PXXI03E,D2EB8E9SEN5CYY531EX
"ML/AI Demo UI (Automated Metadata UI, Transcript & Subtitle Editor)",Business Service,PEYBI3R,Transcription Engine (Transcript Model),Business Service,PUA25TT,D2EB8E9SEN5CYY531EO
Chartbeat Analytics,Business Service,P2JJ9S4,Double J Web,Business Service,P06IY6J,D2EB8UXBGNJW96MUV7C
Email Newsletters (SFMC),Business Service,PZQSC21,Composer API (SFMC Template Composer),Business Service,PXQ2GBB,D2EB8S7ZPWU5QXB37AW
Chartbeat Analytics,Business Service,P2JJ9S4,Radio National,Business Service,PG6UQZY,D2EB8UXBGNJW96MUV2R
Core Next,Business Service,P49JYW8,Terminus API,Business Service,P35H2A0,D2EB8SRGGUZB1RZ1JAC
Push Notifications (TBC),Business Service,P9U04EF,News Push Console,Business Service,PIIPS20,D2EB8VSGNRS4QJP6LHK
Streaming QoS (Youbora),Business Service,PRB3B0P,iview CTV (Smart TVs),Business Service,PY0SPKK,D2EB8YTGUOKYFBFBNM3
ABC listen Chromecast Receiver,Business Service,PFUM7XW,ABC Listen App,Business Service,P4LREYN,D2EB8IHM8U9IBLBX8AA
Core Next,Business Service,P49JYW8,Location Service (Aurora),Business Service,PVLJHEE,D2EB8SRGGUZB1RZ1JE1
Chartbeat Analytics,Business Service,P2JJ9S4,iView Web,Business Service,PLYQ3N8,D2EB8UXBGNJW96MUV4W
iview App (Native),Business Service,PTDEFMO,Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,D2EB8ELGUT8G5GJGFTI
iview App (Native),Business Service,PTDEFMO,ABC ME App,Business Service,PRTOUY9,D2EB8ELGUT8G5GJGFUR
iview Chromecast Receiver,Business Service,PVOXOVV,Kids App,Business Service,PX450TF,D2EB8HQD742AWEEDYQS
Profiles Provider,Business Service,PWAS0GG,"Subscriptions API (SFMC API, Salesforce Marketing Cloud API)",Business Service,PHWUCDC,D2EB8WJPPHZC5QMPUWV
Measurement & Notifications (Google Firebase),Business Service,P7TA9RS,triple j App,Business Service,P1FGDVJ,D2EB8I21NA5E2WSRD2W
ABC listen Chromecast Receiver,Business Service,PFUM7XW,ABC KIDS Listen App,Business Service,P8FULCD,D2EB8IHM8U9IBLBX8BM
Measurement & Notifications (Google Firebase),Business Service,P7TA9RS,Kids App,Business Service,PX450TF,D2EB8I21NA5E2WSRD44
Contact Forms (Zendesk Support),Business Service,PZZQV9K,reCAPTCHA,Business Service,PCX6PK8,D2EB8GJJJTQZ8IXOTZO
ABC Listen App,Business Service,P4LREYN,"SeeSaw (Favourites, History, Prefs)",Business Service,PW02UXX,D2EB8ROIYYP0G2N4VD8
Chartbeat Analytics,Business Service,P2JJ9S4,News App,Business Service,P91SEKZ,D2EB8UXBGNJW96MUV3Q
Core Next,Business Service,P49JYW8,Weather Service (Aurora),Business Service,PH2ED3D,D2EB8SRGGUZB1RZ1JAY
Taxonomy Suggestions for Editors,Business Service,P6W7N4U,Disco (PAX Data Service),Business Service,P7J7Z8Y,D2EB8UTFB9IV70I2ED7
triple j Unearthed UGC CMS (Kentico.ai),Business Service,PD7VJ6U,Terminus API,Business Service,P35H2A0,D2EB8XEUWM7KN3P1L9G
Disco (PAX Data Service),Business Service,P7J7Z8Y,Event Pipeline (Snowplow),Business Service,PRK1U88,D2EB8SNKBGY9ZLU92IW
Discover (Global Search),Business Service,PEXW8NY,Search (Algolia),Business Service,PQMYULN,D2EB8V8ZWTMZFP189KU
News Web,Business Service,PSGOGCQ,Terminus API,Business Service,P35H2A0,D2EB8RCUISLX9K8RH0K
Login & Consent Mgmt (Gigya),Business Service,PM9I9PN,triple j Unearthed APIs & Transcoding,Business Service,P20YJKM,D2EB8ONIS1W6RAWZTBD
Streaming QoS (Youbora),Business Service,PRB3B0P,iview API,Business Service,PCW0D4S,D2EB8YTGUOKYFBFBNN5
Automated Metadata Engine (AME),Business Service,PXXI03E,Disco (PAX Data Service),Business Service,P7J7Z8Y,D2EB8JSC1ILV1MXETRV
ABC Listen App,Business Service,P4LREYN,Terminus API,Business Service,P35H2A0,D2EB8ROIYYP0G2N4VDW
Regional and Local Sites (x54 Sites),Business Service,PU6P5GU,Core Next,Business Service,P49JYW8,D2EB8P6ZJ01C25KY5A4
wCMS (CoreMedia 11),Business Service,P4VHRE4,Program API (PAPI),Business Service,PW7HAMA,D2EB8H30ARW4JDLN5Z1
iView Web,Business Service,PLYQ3N8,Recommendations Engine,Business Service,P3HP8C2,D2EB8PQG9Y6HD08WH5M
"Podcast Feeds (Apple Podcasts, Google Podcasts)",Business Service,PI6H8ML,PL Media Feeds,Business Service,PDK6C1P,D2EB8V53RFLYDIWFSN4
Kids App,Business Service,PX450TF,Search (Algolia),Business Service,PQMYULN,D2EB8Q60VIALLOS2CFY
Image Resizer (Akamai),Business Service,PANIBOM,wCMS (CoreMedia 11),Business Service,P4VHRE4,D2EB8FGM1XGOMTLS634
ABC Listen App,Business Service,P4LREYN,Remote Config & Feature Flag Mgmt (Google Firebase),Business Service,PSYWANN,D2EB8ROIYYP0G2N4VEM
Experiment Manager (AWS CloudWatch Evidently),Business Service,PSQETI7,A/B Testing (Google Firebase),Business Service,PQX1544,D2EB8GRBULT1CV79RMK
